headline,date,label,score
Fantastic Four: Ioan Gruffudd On Original Trilogy Plans,2025-08-03,Neutral,0.9997
Real Madrid Playmaker Is Generating Interest From Saudi Arabia: Should Alonso Cash In On Him?,2025-08-03,Neutral,0.9999
Book Review: Booze & Vinyl Country,2025-08-03,Neutral,1.0
Jessica Chastain Enrolls at Harvard for Masters Program. What She’s Studying,2025-08-03,Neutral,1.0
How Air India crash victim's grieving family discovered remains mix-up,2025-08-03,Neutral,0.5088
5 Essential Things to Start Doing for Your Happiness and Personal Growth,2025-08-03,Positive,0.6342
"Coco Gauff in a Slump, Opens Up About Rival, a Teen Canadian Who Eliminated Her in Straight Sets",2025-08-03,Negative,0.6699
"Beyond Trump’s trade deals, consolation for the little guy and other commentary",2025-08-03,Neutral,0.9999
"Top-10 burgers list deals blow to McDonald's, Burger King",2025-08-03,Neutral,0.9999
studio baudequinmaldes’ sensory installations interact poetically with nature in france,2025-08-03,Neutral,1.0
"Bitcoin Treasury Companies Are ‘Logical’ As Government Severely Devalues $37,000,000,000,000 US Debt: Macro Guru Luke Gromen",2025-08-03,Neutral,0.9999
7 Marvel Movies That End Immediately if The Punisher Is Added,2025-08-03,Neutral,1.0
"In the real world, climate hawks are facing extinction",2025-08-03,Negative,0.9757
"'Perilous' 90,000-strong bridge march does little to quell police fears",2025-08-03,Negative,0.9991
Business Cycle Indicators – A Turning Point?,2025-08-03,Neutral,0.9989
"Apple Secretly Building ChatGPT Rival, Report Says",2025-08-03,Neutral,0.9808
What to know about the earthquake that shook the New York area Saturday night,2025-08-03,Neutral,0.9526
"India to maintain Russian oil imports despite Trump threats, government sources say",2025-08-03,Neutral,0.9111
Amanda Kloots Is Trying To Shift Mindsets About Pain And Recovery,2025-08-03,Neutral,0.9798
'She's given everything. This is a cherry on the top' - Dublin's retiring multi-sport star,2025-08-03,Neutral,0.9999
Bitfinex Whale Buys 300 $BTC Per Day During Crypto Market Crash,2025-08-03,Neutral,0.9997
WWE SummerSlam 2025: What Time Does Night 2 Start On Sunday?,2025-08-03,Neutral,1.0
convai-innovations added to PyPI,2025-08-03,Neutral,0.9924
"Jury's order for Tesla to pay $243 million in Autopilot crash will 'send shock waves' throughout the industry, analyst says",2025-08-03,Neutral,0.9989
Experts Raise Concerns Over Trump’s White House Ballroom Renovation Plans,2025-08-03,Negative,1.0
To My Beloved Jewish People,2025-08-03,Neutral,0.9818
Daily Rome Shot 1406,2025-08-03,Neutral,1.0
